name,description,category.level_1,category.level_2,category.level_3,brand,attributes.color,attributes.size,attributes.material,pricing.cost_price,pricing.selling_price,pricing.currency,inventory.storage_type,inventory.shelf_life_days,logistics.weight_kg,logistics.fragile,logistics.hazardous
"Drunk Elephant C-Firma Day Serum (Pack of 2, 100ml)",Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Cleanser,Drunk Elephant,N/A,100ml,Glass Bottle,$66.91,$98.57,USD,Normal,365,0.146,FALSE,FALSE
Cetaphil Moisturizing Cream (100ml),Rich cream for dry sensitive skin,Beauty & Personal Care,Skincare,Moisturizer,Cetaphil,N/A,100ml,Airless Pump,$39.42,$46.18,USD,Normal,365,0.171,TRUE,FALSE
Neutrogena Ultra Sheer Sunscreen SPF 50 (50ml),Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Sunscreen,Neutrogena,N/A,50ml,Glass Bottle,$11.80,$15.69,USD,Normal,365,0.134,TRUE,FALSE
Neutrogena Hydro Boost Water Gel (100ml),Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Moisturizer,Neutrogena,N/A,100ml,Plastic Bottle,$6.07,$9.41,USD,Normal,365,0.328,FALSE,FALSE
"The Ordinary Hyaluronic Acid 2% + B5 (Pack of 2, 100ml)",Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Moisturizer,The Ordinary,N/A,100ml,Airless Pump,$43.92,$65.69,USD,Normal,365,0.303,FALSE,FALSE
La Roche-Posay Toleriane Double Repair Moisturizer (100ml),Face moisturizer for sensitive skin,Beauty & Personal Care,Skincare,Toner,La Roche-Posay,N/A,100ml,Pump Tube,$21.34,$32.72,USD,Normal,730,0.266,TRUE,FALSE
La Roche-Posay Anthelios Melt-in Sunscreen SPF 60 (50ml),Fast-absorbing sunscreen lotion,Beauty & Personal Care,Skincare,Serum,La Roche-Posay,N/A,50ml,Plastic Bottle,$27.75,$37.93,USD,Normal,365,0.065,FALSE,FALSE
Paula's Choice 2% BHA Liquid Exfoliant (50ml),Salicylic acid exfoliating toner,Beauty & Personal Care,Skincare,Cleanser,Paula's Choice,N/A,50ml,Plastic Bottle,$43.39,$51.29,USD,Normal,365,0.229,FALSE,FALSE
Olay Total Effects 7-in-1 Moisturizer (100ml),Daily anti-aging cream,Beauty & Personal Care,Skincare,Toner,Olay,N/A,100ml,Plastic Bottle,$42.61,$58.70,USD,Normal,730,0.062,TRUE,FALSE
"Drunk Elephant C-Firma Day Serum (Pack of 2, 150ml)",Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Serum,Drunk Elephant,N/A,150ml,Pump Tube,$78.29,$96.44,USD,Normal,365,0.241,TRUE,FALSE
"La Roche-Posay Anthelios Melt-in Sunscreen SPF 60 (Pack of 2, 100ml)",Fast-absorbing sunscreen lotion,Beauty & Personal Care,Skincare,Moisturizer,La Roche-Posay,N/A,100ml,Pump Tube,$77.87,$118.70,USD,Normal,540,0.437,FALSE,FALSE
"Neutrogena Ultra Sheer Sunscreen SPF 50 (Pack of 2, 30ml)",Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Serum,Neutrogena,N/A,30ml,Glass Bottle,$45.77,$55.06,USD,Normal,365,0.581,FALSE,FALSE
"The Ordinary Hyaluronic Acid 2% + B5 (Pack of 3, 100ml)",Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Toner,The Ordinary,N/A,100ml,Pump Tube,$78.52,$121.28,USD,Normal,365,0.675,FALSE,FALSE
"Neutrogena Ultra Sheer Sunscreen SPF 50 (Pack of 2, 50ml)",Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Toner,Neutrogena,N/A,50ml,Pump Tube,$16.15,$19.28,USD,Normal,365,0.244,FALSE,FALSE
Clinique Dramatically Different Moisturizing Lotion (50ml),Iconic hydrating face lotion,Beauty & Personal Care,Skincare,Moisturizer,Clinique,N/A,50ml,Pump Tube,$24.72,$30.91,USD,Normal,365,0.24,FALSE,FALSE
CeraVe Hydrating Facial Cleanser (30ml),Gentle daily cleanser for normal to dry skin,Beauty & Personal Care,Skincare,Serum,CeraVe,N/A,30ml,Pump Tube,$35.62,$50.03,USD,Normal,365,0.272,FALSE,FALSE
"Cetaphil Moisturizing Cream (Pack of 2, 150ml)",Rich cream for dry sensitive skin,Beauty & Personal Care,Skincare,Cleanser,Cetaphil,N/A,150ml,Plastic Bottle,$15.89,$24.27,USD,Normal,730,0.113,FALSE,FALSE
"First Aid Beauty Ultra Repair Cream (Pack of 3, 50ml)",Intense hydration for dry skin,Beauty & Personal Care,Skincare,Moisturizer,First Aid Beauty,N/A,50ml,Airless Pump,$24.92,$31.72,USD,Normal,540,0.305,TRUE,FALSE
Neutrogena Ultra Sheer Sunscreen SPF 50 (75ml),Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Cleanser,Neutrogena,N/A,75ml,Airless Pump,$43.93,$63.69,USD,Normal,365,0.343,FALSE,FALSE
Cetaphil Moisturizing Cream (30ml),Rich cream for dry sensitive skin,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,30ml,Glass Bottle,$34.20,$43.87,USD,Normal,730,0.309,FALSE,FALSE
La Roche-Posay Toleriane Double Repair Moisturizer (50ml),Face moisturizer for sensitive skin,Beauty & Personal Care,Skincare,Sunscreen,La Roche-Posay,N/A,50ml,Plastic Bottle,$19.68,$22.94,USD,Normal,365,0.11,FALSE,FALSE
Aveeno Daily Moisturizing Lotion (75ml),Oat-based body lotion,Beauty & Personal Care,Skincare,Sunscreen,Aveeno,N/A,75ml,Glass Bottle,$13.14,$18.58,USD,Normal,540,0.134,TRUE,FALSE
La Roche-Posay Toleriane Double Repair Moisturizer (75ml),Face moisturizer for sensitive skin,Beauty & Personal Care,Skincare,Serum,La Roche-Posay,N/A,75ml,Airless Pump,$31.86,$47.39,USD,Normal,365,0.085,FALSE,FALSE
The Ordinary Hyaluronic Acid 2% + B5 (150ml),Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Serum,The Ordinary,N/A,150ml,Pump Tube,$5.57,$7.73,USD,Normal,730,0.286,FALSE,FALSE
"Paula's Choice 2% BHA Liquid Exfoliant (Pack of 2, 30ml)",Salicylic acid exfoliating toner,Beauty & Personal Care,Skincare,Moisturizer,Paula's Choice,N/A,30ml,Airless Pump,$75.63,$92.72,USD,Normal,730,0.335,FALSE,FALSE
First Aid Beauty Ultra Repair Cream (200ml),Intense hydration for dry skin,Beauty & Personal Care,Skincare,Serum,First Aid Beauty,N/A,200ml,Glass Bottle,$18.93,$22.30,USD,Normal,730,0.144,FALSE,FALSE
La Roche-Posay Anthelios Melt-in Sunscreen SPF 60 (150ml),Fast-absorbing sunscreen lotion,Beauty & Personal Care,Skincare,Serum,La Roche-Posay,N/A,150ml,Pump Tube,$31.34,$40.13,USD,Normal,730,0.088,FALSE,FALSE
Cetaphil Gentle Skin Cleanser (200ml),Mild non-foaming daily cleanser,Beauty & Personal Care,Skincare,Toner,Cetaphil,N/A,200ml,Glass Bottle,$29.24,$37.14,USD,Normal,365,0.141,TRUE,FALSE
"Drunk Elephant C-Firma Day Serum (Pack of 3, 150ml)",Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Cleanser,Drunk Elephant,N/A,150ml,Pump Tube,$62.26,$82.62,USD,Normal,730,0.518,FALSE,FALSE
The Ordinary Hyaluronic Acid 2% + B5 (200ml),Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Toner,The Ordinary,N/A,200ml,Plastic Bottle,$15.64,$22.13,USD,Normal,540,0.078,FALSE,FALSE
Olay Total Effects 7-in-1 Moisturizer (200ml),Daily anti-aging cream,Beauty & Personal Care,Skincare,Moisturizer,Olay,N/A,200ml,Pump Tube,$13.21,$16.24,USD,Normal,365,0.123,FALSE,FALSE
"Neutrogena Hydro Boost Water Gel (Pack of 2, 100ml)",Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Sunscreen,Neutrogena,N/A,100ml,Airless Pump,$74.61,$102.99,USD,Normal,540,0.315,TRUE,FALSE
CeraVe Moisturizing Cream (30ml),Face & body moisturizer with ceramides and hyaluronic acid,Beauty & Personal Care,Skincare,Toner,CeraVe,N/A,30ml,Airless Pump,$12.97,$19.09,USD,Normal,540,0.065,TRUE,FALSE
"Neutrogena Ultra Sheer Sunscreen SPF 50 (Pack of 2, 100ml)",Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Toner,Neutrogena,N/A,100ml,Glass Bottle,$68.19,$96.63,USD,Normal,730,0.268,FALSE,FALSE
"Garnier Micellar Cleansing Water (Pack of 2, 150ml)",All-in-one makeup remover and cleanser,Beauty & Personal Care,Skincare,Cleanser,Garnier,N/A,150ml,Airless Pump,$70.39,$96.38,USD,Normal,730,0.57,FALSE,FALSE
"Olay Total Effects 7-in-1 Moisturizer (Pack of 2, 200ml)",Daily anti-aging cream,Beauty & Personal Care,Skincare,Cleanser,Olay,N/A,200ml,Pump Tube,$65.49,$88.97,USD,Normal,540,0.337,FALSE,FALSE
Olay Total Effects 7-in-1 Moisturizer (75ml),Daily anti-aging cream,Beauty & Personal Care,Skincare,Cleanser,Olay,N/A,75ml,Pump Tube,$17.11,$23.37,USD,Normal,365,0.119,FALSE,FALSE
Olay Regenerist Micro-Sculpting Cream (30ml),Anti-aging face moisturizer,Beauty & Personal Care,Skincare,Sunscreen,Olay,N/A,30ml,Airless Pump,$20.71,$28.31,USD,Normal,365,0.112,FALSE,FALSE
Drunk Elephant C-Firma Day Serum (200ml),Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Sunscreen,Drunk Elephant,N/A,200ml,Plastic Bottle,$39.13,$56.98,USD,Normal,540,0.052,FALSE,FALSE
Cetaphil Gentle Skin Cleanser (100ml),Mild non-foaming daily cleanser,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,100ml,Glass Bottle,$24.02,$30.24,USD,Normal,365,0.167,FALSE,FALSE
"Cetaphil Gentle Skin Cleanser (Pack of 2, 200ml)",Mild non-foaming daily cleanser,Beauty & Personal Care,Skincare,Toner,Cetaphil,N/A,200ml,Glass Bottle,$71.15,$108.00,USD,Normal,730,0.107,FALSE,FALSE
"Drunk Elephant C-Firma Day Serum (Pack of 2, 200ml)",Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Sunscreen,Drunk Elephant,N/A,200ml,Plastic Bottle,$13.76,$18.19,USD,Normal,365,0.12,FALSE,FALSE
Olay Regenerist Micro-Sculpting Cream (100ml),Anti-aging face moisturizer,Beauty & Personal Care,Skincare,Serum,Olay,N/A,100ml,Pump Tube,$17.84,$26.79,USD,Normal,540,0.126,TRUE,FALSE
"CeraVe Moisturizing Cream (Pack of 2, 200ml)",Face & body moisturizer with ceramides and hyaluronic acid,Beauty & Personal Care,Skincare,Moisturizer,CeraVe,N/A,200ml,Plastic Bottle,$83.25,$107.37,USD,Normal,730,0.115,TRUE,FALSE
Olay Total Effects 7-in-1 Moisturizer (50ml),Daily anti-aging cream,Beauty & Personal Care,Skincare,Sunscreen,Olay,N/A,50ml,Plastic Bottle,$29.47,$36.71,USD,Normal,730,0.084,FALSE,FALSE
Garnier Micellar Cleansing Water (200ml),All-in-one makeup remover and cleanser,Beauty & Personal Care,Skincare,Toner,Garnier,N/A,200ml,Pump Tube,$35.44,$43.14,USD,Normal,730,0.266,FALSE,FALSE
The Ordinary Hyaluronic Acid 2% + B5 (75ml),Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Toner,The Ordinary,N/A,75ml,Plastic Bottle,$27.73,$42.19,USD,Normal,730,0.322,FALSE,FALSE
"Olay Regenerist Micro-Sculpting Cream (Pack of 2, 30ml)",Anti-aging face moisturizer,Beauty & Personal Care,Skincare,Toner,Olay,N/A,30ml,Glass Bottle,$15.13,$22.07,USD,Normal,365,0.535,FALSE,FALSE
CeraVe Hydrating Facial Cleanser (75ml),Gentle daily cleanser for normal to dry skin,Beauty & Personal Care,Skincare,Serum,CeraVe,N/A,75ml,Airless Pump,$31.12,$36.65,USD,Normal,365,0.305,FALSE,FALSE
"Neutrogena Ultra Sheer Sunscreen SPF 50 (Pack of 3, 100ml)",Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Cleanser,Neutrogena,N/A,100ml,Pump Tube,$81.16,$120.23,USD,Normal,540,0.278,FALSE,FALSE
La Roche-Posay Toleriane Double Repair Moisturizer (150ml),Face moisturizer for sensitive skin,Beauty & Personal Care,Skincare,Toner,La Roche-Posay,N/A,150ml,Airless Pump,$23.06,$34.14,USD,Normal,540,0.147,TRUE,FALSE
Neutrogena Hydro Boost Water Gel (75ml),Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Toner,Neutrogena,N/A,75ml,Airless Pump,$14.00,$18.70,USD,Normal,730,0.164,TRUE,FALSE
"Clinique Dramatically Different Moisturizing Lotion (Pack of 2, 50ml)",Iconic hydrating face lotion,Beauty & Personal Care,Skincare,Serum,Clinique,N/A,50ml,Airless Pump,$23.50,$34.50,USD,Normal,540,0.581,FALSE,FALSE
"La Roche-Posay Toleriane Double Repair Moisturizer (Pack of 2, 150ml)",Face moisturizer for sensitive skin,Beauty & Personal Care,Skincare,Cleanser,La Roche-Posay,N/A,150ml,Plastic Bottle,$46.58,$57.13,USD,Normal,730,0.318,FALSE,FALSE
"Olay Total Effects 7-in-1 Moisturizer (Pack of 3, 200ml)",Daily anti-aging cream,Beauty & Personal Care,Skincare,Moisturizer,Olay,N/A,200ml,Airless Pump,$82.30,$110.81,USD,Normal,365,0.373,FALSE,FALSE
"Olay Total Effects 7-in-1 Moisturizer (Pack of 2, 75ml)",Daily anti-aging cream,Beauty & Personal Care,Skincare,Sunscreen,Olay,N/A,75ml,Pump Tube,$43.29,$58.98,USD,Normal,730,0.398,FALSE,FALSE
Garnier Micellar Cleansing Water (75ml),All-in-one makeup remover and cleanser,Beauty & Personal Care,Skincare,Cleanser,Garnier,N/A,75ml,Pump Tube,$14.31,$17.14,USD,Normal,540,0.086,FALSE,FALSE
The Ordinary Hyaluronic Acid 2% + B5 (50ml),Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Toner,The Ordinary,N/A,50ml,Glass Bottle,$34.28,$43.22,USD,Normal,730,0.229,FALSE,FALSE
Olay Regenerist Micro-Sculpting Cream (75ml),Anti-aging face moisturizer,Beauty & Personal Care,Skincare,Toner,Olay,N/A,75ml,Glass Bottle,$18.80,$23.89,USD,Normal,365,0.132,FALSE,FALSE
First Aid Beauty Ultra Repair Cream (75ml),Intense hydration for dry skin,Beauty & Personal Care,Skincare,Moisturizer,First Aid Beauty,N/A,75ml,Glass Bottle,$30.15,$43.76,USD,Normal,365,0.222,FALSE,FALSE
"Garnier Micellar Cleansing Water (Pack of 2, 75ml)",All-in-one makeup remover and cleanser,Beauty & Personal Care,Skincare,Sunscreen,Garnier,N/A,75ml,Glass Bottle,$80.64,$100.86,USD,Normal,365,0.549,FALSE,FALSE
"Neutrogena Hydro Boost Water Gel (Pack of 2, 150ml)",Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Serum,Neutrogena,N/A,150ml,Plastic Bottle,$18.91,$27.88,USD,Normal,365,0.644,TRUE,FALSE
"Cetaphil Moisturizing Cream (Pack of 3, 150ml)",Rich cream for dry sensitive skin,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,150ml,Glass Bottle,$96.66,$125.87,USD,Normal,540,0.832,FALSE,FALSE
"La Roche-Posay Anthelios Melt-in Sunscreen SPF 60 (Pack of 2, 150ml)",Fast-absorbing sunscreen lotion,Beauty & Personal Care,Skincare,Cleanser,La Roche-Posay,N/A,150ml,Plastic Bottle,$53.63,$77.57,USD,Normal,730,0.209,FALSE,FALSE
"The Ordinary Hyaluronic Acid 2% + B5 (Pack of 2, 50ml)",Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Sunscreen,The Ordinary,N/A,50ml,Glass Bottle,$49.27,$59.74,USD,Normal,540,0.475,FALSE,FALSE
CeraVe Hydrating Facial Cleanser (50ml),Gentle daily cleanser for normal to dry skin,Beauty & Personal Care,Skincare,Sunscreen,CeraVe,N/A,50ml,Pump Tube,$32.99,$47.21,USD,Normal,365,0.256,FALSE,FALSE
"Drunk Elephant C-Firma Day Serum (Pack of 3, 200ml)",Vitamin C antioxidant serum,Beauty & Personal Care,Skincare,Cleanser,Drunk Elephant,N/A,200ml,Glass Bottle,$57.86,$79.14,USD,Normal,540,0.805,TRUE,FALSE
"The Ordinary Hyaluronic Acid 2% + B5 (Pack of 2, 75ml)",Hydrating serum for plump skin,Beauty & Personal Care,Skincare,Serum,The Ordinary,N/A,75ml,Pump Tube,$40.72,$54.45,USD,Normal,730,0.316,TRUE,FALSE
"First Aid Beauty Ultra Repair Cream (Pack of 2, 100ml)",Intense hydration for dry skin,Beauty & Personal Care,Skincare,Sunscreen,First Aid Beauty,N/A,100ml,Airless Pump,$13.50,$15.74,USD,Normal,730,0.272,TRUE,FALSE
"Neutrogena Hydro Boost Water Gel (Pack of 2, 50ml)",Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Serum,Neutrogena,N/A,50ml,Plastic Bottle,$83.21,$118.09,USD,Normal,730,0.115,FALSE,FALSE
Kiehl's Ultra Facial Cream (150ml),24-hour daily face moisturizer,Beauty & Personal Care,Skincare,Toner,Kiehl's,N/A,150ml,Airless Pump,$41.56,$50.81,USD,Normal,540,0.24,FALSE,FALSE
"Neutrogena Hydro Boost Water Gel (Pack of 3, 100ml)",Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Moisturizer,Neutrogena,N/A,100ml,Pump Tube,$56.00,$71.60,USD,Normal,365,0.402,FALSE,FALSE
La Roche-Posay Anthelios Melt-in Sunscreen SPF 60 (200ml),Fast-absorbing sunscreen lotion,Beauty & Personal Care,Skincare,Sunscreen,La Roche-Posay,N/A,200ml,Airless Pump,$37.36,$51.18,USD,Normal,365,0.144,TRUE,FALSE
Cetaphil Gentle Skin Cleanser (150ml),Mild non-foaming daily cleanser,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,150ml,Plastic Bottle,$30.96,$42.33,USD,Normal,365,0.106,FALSE,FALSE
Kiehl's Ultra Facial Cream (200ml),24-hour daily face moisturizer,Beauty & Personal Care,Skincare,Toner,Kiehl's,N/A,200ml,Airless Pump,$35.16,$43.30,USD,Normal,365,0.328,FALSE,FALSE
Kiehl's Ultra Facial Cream (30ml),24-hour daily face moisturizer,Beauty & Personal Care,Skincare,Cleanser,Kiehl's,N/A,30ml,Plastic Bottle,$43.90,$61.18,USD,Normal,730,0.098,FALSE,FALSE
"First Aid Beauty Ultra Repair Cream (Pack of 3, 100ml)",Intense hydration for dry skin,Beauty & Personal Care,Skincare,Moisturizer,First Aid Beauty,N/A,100ml,Plastic Bottle,$35.67,$53.03,USD,Normal,540,0.902,FALSE,FALSE
The Ordinary Niacinamide 10% + Zinc 1% (100ml),Serum to reduce blemishes and congestion,Beauty & Personal Care,Skincare,Sunscreen,The Ordinary,N/A,100ml,Pump Tube,$24.86,$31.31,USD,Normal,540,0.123,FALSE,FALSE
Cetaphil Gentle Skin Cleanser (50ml),Mild non-foaming daily cleanser,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,50ml,Glass Bottle,$39.43,$49.70,USD,Normal,540,0.33,FALSE,FALSE
CeraVe Moisturizing Cream (75ml),Face & body moisturizer with ceramides and hyaluronic acid,Beauty & Personal Care,Skincare,Sunscreen,CeraVe,N/A,75ml,Pump Tube,$38.34,$52.98,USD,Normal,365,0.184,FALSE,FALSE
Clinique Dramatically Different Moisturizing Lotion (150ml),Iconic hydrating face lotion,Beauty & Personal Care,Skincare,Cleanser,Clinique,N/A,150ml,Airless Pump,$22.67,$28.99,USD,Normal,730,0.122,FALSE,FALSE
"Cetaphil Moisturizing Cream (Pack of 2, 30ml)",Rich cream for dry sensitive skin,Beauty & Personal Care,Skincare,Sunscreen,Cetaphil,N/A,30ml,Pump Tube,$63.88,$91.48,USD,Normal,540,0.642,FALSE,FALSE
"The Ordinary Niacinamide 10% + Zinc 1% (Pack of 2, 100ml)",Serum to reduce blemishes and congestion,Beauty & Personal Care,Skincare,Serum,The Ordinary,N/A,100ml,Plastic Bottle,$16.98,$26.08,USD,Normal,365,0.577,FALSE,FALSE
Paula's Choice 2% BHA Liquid Exfoliant (100ml),Salicylic acid exfoliating toner,Beauty & Personal Care,Skincare,Cleanser,Paula's Choice,N/A,100ml,Plastic Bottle,$33.62,$44.18,USD,Normal,365,0.191,FALSE,FALSE
"Clinique Dramatically Different Moisturizing Lotion (Pack of 2, 150ml)",Iconic hydrating face lotion,Beauty & Personal Care,Skincare,Toner,Clinique,N/A,150ml,Airless Pump,$56.68,$84.51,USD,Normal,540,0.622,FALSE,FALSE
"Kiehl's Ultra Facial Cream (Pack of 2, 150ml)",24-hour daily face moisturizer,Beauty & Personal Care,Skincare,Serum,Kiehl's,N/A,150ml,Plastic Bottle,$54.24,$67.47,USD,Normal,365,0.507,FALSE,FALSE
"Neutrogena Ultra Sheer Sunscreen SPF 50 (Pack of 2, 200ml)",Broad spectrum sun protection lotion,Beauty & Personal Care,Skincare,Moisturizer,Neutrogena,N/A,200ml,Plastic Bottle,$41.05,$58.61,USD,Normal,365,0.272,TRUE,FALSE
"Aveeno Daily Moisturizing Lotion (Pack of 2, 75ml)",Oat-based body lotion,Beauty & Personal Care,Skincare,Toner,Aveeno,N/A,75ml,Airless Pump,$18.44,$25.12,USD,Normal,730,0.533,TRUE,FALSE
"Neutrogena Hydro Boost Water Gel (Pack of 3, 150ml)",Lightweight hyaluronic acid moisturizer,Beauty & Personal Care,Skincare,Toner,Neutrogena,N/A,150ml,Airless Pump,$79.41,$98.96,USD,Normal,365,0.324,FALSE,FALSE
"Garnier Micellar Cleansing Water (Pack of 3, 75ml)",All-in-one makeup remover and cleanser,Beauty & Personal Care,Skincare,Serum,Garnier,N/A,75ml,Plastic Bottle,$110.32,$147.39,USD,Normal,730,0.578,TRUE,FALSE
"Aveeno Daily Moisturizing Lotion (Pack of 2, 150ml)",Oat-based body lotion,Beauty & Personal Care,Skincare,Serum,Aveeno,N/A,150ml,Pump Tube,$55.87,$73.72,USD,Normal,540,0.562,TRUE,FALSE
